id;name;age;adress;email;phone number;registration date;created at;updated at;deleted at
228763c9-8461-4d92-93a1-e280988b1330;Харитон Анисимович Кононов;21;с. Орск, алл. Циолковского, д. 428 стр. 8, 142982;vera_2014@example.net;75 291 371 402;2024-06-08 16:46:59.026 +0300;2024-12-01 03:27:49.942 +0300;2025-03-14 16:05:21.352 +0300;
9a984704-23eb-4153-843a-3ead2782e255;Чернов Юлиан Изотович;62;клх Калач-на-Дону, бул. Базарный, д. 21 к. 7/4, 867879;savva_09@example.com;74 788 036 419;2025-02-14 22:46:08.245 +0300;2024-05-23 21:39:59.674 +0300;2025-03-14 16:06:13.679 +0300;
6847b932-4c19-42da-85ef-df5e0d96971f;Гордеев Кондратий Игнатьевич;53;г. Макушино, ул. Семашко, д. 195, 159093;arhipgrishin@example.net;+7 (406) 777-77-11;2024-11-06 04:59:48.020 +0300;2024-10-08 19:46:05.617 +0300;2025-03-14 16:06:51.815 +0300;
b333d1c0-353c-4031-8850-d3b7532042d3;Ираида Ждановна Матвеева;99;д. Воткинск, пр. Водопроводный, д. 91 стр. 97, 457325;vatslav1982@example.net;8 775 143 03 11;2024-10-27 00:42:35.803 +0300;2025-02-12 20:53:54.096 +0300;2025-03-14 16:07:11.461 +0300;
9638d9f5-3f30-47d7-b532-886e82c4b379;Вероника Алексеевна Зуева;34;ст. Хасан, пер. Шахтерский, д. 7/2 к. 96, 215813;lukinaalina@example.net;+7 (777) 439-3593;2025-03-12 17:02:30.570 +0300;2024-06-01 21:11:14.934 +0300;2025-03-14 16:07:21.514 +0300;
cc9947a1-4fbc-4503-b23b-d1c6e82e9de6;Агата Львовна Калашникова;87;д. Великие Луки, наб. Петровская, д. 7/7 к. 95, 380141;mbragin@example.com;+7 956 351 57 12;2024-06-02 21:54:27.910 +0300;2024-04-06 21:45:52.830 +0300;2025-03-14 16:08:12.064 +0300;
605998ba-89d7-43fc-87f6-da68d2759618;Дорофеев Никифор Владиленович;19;ст. Тарко-Сале, пер. Городской, д. 14 к. 5/2, 744451;elise2003@example.org;8 707 107 94 78;2024-04-07 14:40:36.731 +0300;2024-07-30 03:30:33.575 +0300;2025-03-14 16:11:04.766 +0300;
b70c10a7-3557-4fea-92c0-4d37327a2a76;Мельников Алексей Арсеньевич;68;к. Слюдянка, наб. Ясная, д. 3/6 стр. 90, 699144;haritonovljubim@example.net;72 796 356 926;2024-10-29 11:24:11.914 +0300;2024-10-30 17:03:47.758 +0300;2025-03-14 16:11:18.564 +0300;
1ec233ea-c215-4589-8e21-1e1bcbb4f321;Алина Станиславовна Ефимова;32;к. Устюжна, пр. Прибрежный, д. 2, 961659;panfilovviktorin@example.net;8 (396) 862-4676;2025-01-12 10:59:13.406 +0300;2024-11-27 07:03:11.733 +0300;2025-03-14 16:11:23.126 +0300;
32169b07-e659-4634-b483-ac4d0e426f2b;Вероника Юрьевна Шарапова;28;п. Шадринск, ш. Энгельса, д. 4/1 стр. 623, 739631;nazarovradim@example.org;8 (255) 072-33-87;2024-12-13 05:07:39.955 +0300;2024-08-26 07:50:29.393 +0300;2025-03-14 16:11:27.452 +0300;
